,state,no2,latitude,longitude
1,Arunachal Pradesh,5.0,23.2146169,92.8687612
21,Mizoram,5.0,17.8495919,79.1151663
22,Nagaland,6.0,22.3850051,71.745261
20,Meghalaya,10.0,21.6637359,81.8406351
9,Goa,11.0,26.4073841,93.2551303
13,Jammu & Kashmir,12.9,20.203950650000003,73.00625077771558
16,Kerala,13.0,15.9240905,80.1863809
24,Puducherry,13.0,27.601029,88.45413638680145
12,Himachal Pradesh,13.0,20.42000485,72.86376290300566
2,Assam,14.0,26.1630556,94.5884911
23,Odisha,15.7,26.8105777,73.7684549
4,Chandigarh,16.0,15.3004543,74.0855134
7,Daman & Diu,17.6,11.9340568,79.8306447
6,Dadra & Nagar Haveli,18.0,10.3528744,76.5120396
17,Madhya Pradesh,18.0,10.9094334,78.3665347
19,Manipur,19.8,29.0,76.0
0,Andhra Pradesh,20.0,28.0937702,94.5921326
28,Tamil Nadu,20.6,30.9293211,75.5004841
15,Karnataka,21.0,24.7208818,93.9229386
11,Haryana,21.0,30.72984395,76.78414567016054
5,Chhattisgarh,21.25,32.7185614,74.8580917
29,Telangana,22.0,18.9068356,75.6741579
10,Gujarat,22.916666665,20.5431241,84.6897321
26,Rajasthan,26.2,30.0417376,79.089691
27,Sikkim,26.8,30.0417376,79.089691
30,Uttar Pradesh,27.3,25.6440845,85.906508
32,Uttaranchal,27.9,28.6517178,77.2219388
31,Uttarakhand,28.0,23.4559809,85.2557301
25,Punjab,28.8,27.1303344,80.859666
18,Maharashtra,29.0,14.5203896,75.7223521
3,Bihar,33.1,25.5379432,91.2999102
14,Jharkhand,42.0,23.8143419,77.5340719
8,Delhi,47.0,31.81676015,77.34932051968858
33,West Bengal,53.95,22.9964948,87.6855882
